cart_value,session_duration,repeat_user,checkout_attempts,product_category,time_of_day,purchase_completed
651.57,16.083333333333332,True,1,Toys,Evening,False
3781.08,19.3,False,0,Home,Night,False
1601.76,11.833333333333334,True,1,Electronics,Morning,False
4947.3099999999995,27.9,False,1,Beauty,Evening,True
2642.43,7.116666666666666,True,1,Beauty,Evening,False
916.84,15.816666666666666,False,1,Beauty,Night,False
4990.64,26.8,True,1,Electronics,Morning,True
4474.68,19.483333333333334,False,0,Toys,Morning,False
1583.76,4.75,True,1,Home,Evening,False
657.68,7.933333333333334,False,1,Books,Afternoon,False
1274.48,25.95,True,0,Sports,Evening,False
207.08,28.733333333333334,True,1,Sports,Evening,False
1493.32,5.15,False,0,Toys,Evening,False
682.23,21.216666666666665,False,0,Books,Evening,False
1675.78,24.366666666666667,True,0,Home,Night,False
2302.14,2.3833333333333333,True,0,Books,Morning,False
693.68,3.0,True,1,Electronics,Night,False
1927.32,16.983333333333334,False,1,Apparel,Night,False
687.69,3.3333333333333335,True,1,Books,Night,False
2420.19,19.466666666666665,False,0,Beauty,Evening,False
5498.2,29.683333333333334,False,1,Toys,Afternoon,False
1447.16,12.0,True,1,Apparel,Morning,False
557.98,25.433333333333334,True,1,Books,Afternoon,False
1519.07,15.716666666666667,False,1,Home,Night,True
1707.24,0.43333333333333335,True,1,Beauty,Night,False
1302.4,24.233333333333334,False,1,Books,Afternoon,True
1855.62,18.416666666666668,False,1,Electronics,Afternoon,False
485.40000000000003,10.066666666666666,True,0,Apparel,Afternoon,False
4639.32,23.266666666666666,True,1,Toys,Night,False
1014.28,25.05,True,1,Books,Night,False
2047.2,2.816666666666667,True,1,Apparel,Morning,False
360.24,8.766666666666667,False,1,Sports,Morning,False
3146.4,10.166666666666666,False,1,Sports,Night,True
2243.28,11.483333333333333,True,0,Food,Afternoon,False
1579.98,2.0166666666666666,True,1,Apparel,Afternoon,True
1674.54,6.916666666666667,False,0,Beauty,Morning,False
1710.54,9.016666666666667,False,1,Beauty,Night,False
3422.16,7.483333333333333,True,1,Beauty,Morning,False
4302.42,11.7,True,1,Home,Morning,False
7751.2,14.866666666666667,False,0,Toys,Evening,False
1972.38,28.8,True,1,Home,Evening,True
1803.84,9.716666666666667,True,1,Beauty,Evening,False
1538.68,27.116666666666667,False,1,Apparel,Afternoon,False
3342.46,12.816666666666666,False,1,Food,Night,True
829.96,0.6,True,1,Books,Night,False
1033.44,25.3,True,0,Electronics,Night,False
2171.7200000000003,13.65,False,1,Home,Night,True
2286.35,2.65,True,1,Apparel,Evening,True
841.18,28.933333333333334,True,1,Toys,Afternoon,False
1472.25,6.016666666666667,True,0,Beauty,Afternoon,False
7855.2,20.95,False,1,Home,Evening,False
972.8399999999999,8.316666666666666,False,1,Apparel,Afternoon,False
728.96,7.233333333333333,False,0,Apparel,Evening,False
1249.64,15.5,True,1,Apparel,Night,False
